1|Resepti 16|2|2|ruoka
2|Resepti 37|2|1|ruoka
3|Resepti 67|6|4|ruoka
4|Resepti 94|7|3|ruoka
5|Resepti 7|5|2|ruoka
6|Resepti 24|6|5|ruoka
7|Resepti 10|3|2|ruoka
8|Resepti 45|7|4|ruoka
9|Resepti 10|5|2|ruoka
10|Resepti 55|4|5|ruoka
11|Resepti 12|7|2|ruoka
12|Resepti 27|8|1|ruoka
13|Resepti 99|4|2|ruoka
14|Resepti 20|3|2|ruoka
15|Resepti 25|5|2|ruoka
16|Resepti 10|5|4|ruoka
17|Resepti 28|3|1|ruoka
18|Resepti 31|8|2|ruoka
19|Resepti 5|4|2|ruoka
20|Resepti 3|5|2|ruoka
21|Resepti 34|1|1|ruoka
22|Resepti 79|7|3|ruoka
23|Resepti 85|1|1|ruoka
24|Resepti 73|9|5|ruoka
25|Resepti 83|6|4|ruoka
26|Resepti 96|2|2|ruoka
